id,name,s2006e2020bao,s2006e2020bah,s2006e2020bal
1408,中紡,-11.8,-13.1,-7.3
1409,新纖,7.4,6.7,8.2
1410,南染,13.5,12.9,13.9
1413,宏洲,7.4,6.5,8.4
1414,東和,10.6,9.6,11.4
1416,廣豐,8.7,8.0,9.4
1417,嘉裕,5.1,4.2,5.9
1418,東華,4.2,3.1,5.5
1419,新紡,8.2,7.5,8.7
1423,利華,8.2,7.6,8.8
1432,大魯閣,14.3,13.3,15.3
1434,福懋,7.6,7.2,8.0
1435,中福,7.7,5.4,9.5
1436,華友聯,15.1,14.4,15.4
1437,勤益控,5.2,4.2,6.2
1438,三地開發,15.3,14.1,16.2
1439,中和,10.0,9.2,10.5
1440,南紡,6.2,5.5,6.9
1441,大東,10.0,9.3,10.6
1442,名軒,9.1,8.5,9.7
1443,立益,9.1,8.2,10.1
1444,力麗,10.7,10.0,11.4
1445,大宇,8.8,8.2,9.3
1446,宏和,15.4,14.9,15.7
1447,力鵬,4.6,3.7,5.5
1449,佳和,18.7,17.1,20.2
1451,年興,3.5,2.8,4.3
1452,宏益,10.5,9.9,11.1
1453,大將,7.3,6.6,8.4
1454,台富,5.4,4.8,5.9
1455,集盛,4.5,3.7,5.5
1456,怡華,14.2,13.1,15.3
1457,宜進,10.6,9.8,11.3
1459,聯發,3.8,3.2,4.5
1460,宏遠,4.1,3.4,4.9
1463,強盛,8.6,7.6,9.7
1464,得力,11.5,10.8,12.0
1465,偉全,8.6,8.1,8.9
1466,聚隆,11.7,10.9,12.3
1467,南緯,6.6,5.7,7.5
1468,昶和,1.4,0.6,2.0
1470,大統新創,10.0,9.4,10.3
1471,首利,-5.6,-7.9,-2.6
1472,三洋紡,4.5,3.4,5.6
1473,台南,-0.1,-0.8,0.7
1474,弘裕,6.2,5.4,7.0
1475,業旺,6.9,4.1,9.4
1476,儒鴻,29.5,28.9,30.0
1477,聚陽,14.9,14.2,15.5
1480,,,,
1489,,,,
1503,士電,6.5,6.1,6.9
1504,東元,9.2,8.6,9.6
1506,正道,0.1,-0.5,0.6
1507,永大,10.3,9.6,10.8
1512,瑞利,-2.8,-3.7,-1.3
1513,中興電,10.8,10.1,11.5
1514,亞力,13.0,12.2,13.6
1515,力山,16.5,15.0,17.8
1516,川飛,14.8,13.7,16.0
1517,利奇,7.1,6.4,7.7
1519,華城,14.2,13.5,14.6
1521,大億,9.1,8.2,9.9
1522,堤維西,4.2,3.3,5.2
1524,耿鼎,0.1,-0.7,1.2
1525,江申,10.3,9.6,10.9
1526,日馳,17.6,16.8,18.0
1527,鑽全,3.0,1.9,4.5
1528,恩德,2.8,2.2,3.6
1529,樂士,9.7,7.7,11.5
1530,亞崴,3.7,3.0,4.3
1531,高林股,-0.1,-0.8,0.9
1532,勤美,7.7,7.0,8.5
1533,車王電,5.4,4.3,6.4
1535,中宇,9.8,9.3,9.9
1536,和大,11.8,10.8,12.9
1537,廣隆,19.7,19.0,20.1
1538,正峰,-2.9,-4.5,-0.3
1539,巨庭,8.2,7.2,9.1
1540,喬福,6.7,6.2,7.1
1541,錩泰,13.7,12.5,14.4
1550,,,,
1557,,,,
1558,伸興,17.0,16.4,17.4
1560,中砂,3.9,2.7,5.3
1563,,,,
1565,精華,11.1,10.6,11.3
1566,捷邦,-0.3,-1.7,1.5
1568,倉佑,-1.0,-2.0,0.9
1569,濱川,2.4,1.2,4.0
1570,力肯,-0.3,-1.7,1.3
1580,新麥,13.0,12.5,13.4
1582,信錦,4.4,3.3,5.9
1583,程泰,6.1,5.2,6.9
1584,精剛,-3.9,-5.3,-2.1
1585,,,,
1586,和勤,11.8,10.9,12.7
1587,吉茂,5.6,3.9,8.5
1589,永冠-KY,7.3,6.0,8.4
1590,亞德客-KY,19.9,18.8,20.7
1591,駿吉-KY,-2.6,-3.4,-1.3
1592,英瑞-KY,-13.7,-14.3,-11.6
1593,祺驊,16.5,15.7,17.0
1594,,,,
1595,川寶,-0.3,-1.0,0.5
1597,直得,13.6,12.3,14.7
1598,岱宇,24.1,22.5,25.8
1599,宏佳騰,5.3,4.7,6.3
1602,,,,
1603,華電,12.0,11.3,12.5
1604,聲寶,14.0,13.3,14.8
1605,華新,5.9,5.0,6.9
1606,歌林,-58.0,-58.6,-50.1
1608,華榮,7.6,7.0,8.3
1609,大亞,8.4,7.7,9.3
1611,中電,2.7,1.8,3.5
1612,宏泰,6.7,6.0,7.4
1613,台一,-0.7,-1.7,0.2
1614,三洋電,6.8,6.2,7.3
1615,大山,14.6,13.9,14.9
1616,億泰,0.3,-0.8,1.4
1617,榮星,5.8,5.1,6.6
1618,合機,5.7,4.9,6.5
1619,,,,
1626,艾美特-KY,-7.6,-9.5,-5.3
1701,中化,6.6,6.0,7.1
1702,南僑,15.9,15.1,16.4
1707,葡萄王,23.2,22.6,23.4
1708,東鹼,9.8,9.4,10.0
1709,和益,7.3,6.8,7.6
1710,東聯,3.8,3.3,4.5
1711,永光,6.4,5.8,7.0
1712,興農,12.2,11.6,12.5
1713,國化,7.5,6.8,8.0
1714,和桐,4.8,4.1,5.5
1715,萬洲,5.7,5.2,6.3
1716,永信藥品,11.8,10.7,12.4
1717,長興,9.2,8.7,9.8
1718,中纖,3.3,2.5,4.5
1720,生達,7.8,7.2,8.3
1721,三晃,4.4,3.7,5.0
1722,台肥,4.8,4.3,5.2
1723,中碳,10.3,9.8,10.5
1724,台硝,3.4,2.7,4.1
1725,元禎,5.6,5.1,6.0
1726,永記,7.7,7.1,8.0
1727,中華化,4.7,4.1,5.1
1730,花仙子,17.3,16.7,17.7
1731,美吾華,5.4,4.8,6.0
1732,毛寶,4.3,3.4,5.1
1733,五鼎,3.4,3.0,3.8
1734,杏輝,4.3,3.6,5.0
1735,日勝化,5.0,4.3,5.7
1736,喬山,5.3,3.9,7.0
1737,臺鹽,6.0,5.3,6.6
1739,,,,
1740,,,,
1742,台蠟,6.7,6.0,7.1
1743,,,,
1745,,,,
1752,南光,5.0,4.2,5.8
1760,寶齡富錦,12.5,10.4,14.0
1762,中化生,3.9,2.8,5.0
1763,,,,
1764,,,,
1765,,,,
1766,,,,
1767,,,,
1769,,,,
1770,,,,
1773,勝一,22.1,21.5,22.4
1775,,,,
1776,展宇,-0.7,-1.3,-0.0
1777,生泰,10.1,9.4,10.4
1780,,,,
1781,合世,2.3,0.5,3.8
1783,和康生,-5.9,-7.0,-3.9
1784,訊聯,-3.5,-5.0,-1.5
1785,光洋科,8.0,7.2,8.7
1786,科妍,-0.2,-1.3,1.4
1787,福盈科,6.9,5.9,7.9
1788,杏昌,4.7,3.9,5.6
1789,神隆,-1.7,-2.4,-0.8
1795,美時,8.6,7.5,9.7
1796,金穎生技,-15.3,-16.4,-12.8
1799,易威,2.4,1.5,3.4
1802,台玻,1.3,0.5,2.3
1805,寶徠,13.4,12.8,13.7
1806,冠軍,2.1,1.5,2.8
1808,潤隆,18.4,17.7,19.1
1809,中釉,4.8,4.1,5.5
1810,和成,2.7,2.0,3.4
1813,寶利徠,-1.9,-2.7,-1.0
1814,,,,
1815,富喬,0.3,-1.1,1.9
1817,凱撒衛,3.8,3.2,4.6
1819,,,,
1902,台紙,7.6,6.9,8.2
1903,士紙,5.4,4.5,6.1
1904,正隆,12.7,12.1,13.2
1905,華紙,2.3,1.7,3.1
1906,寶隆,10.8,10.0,11.4
1907,永豐餘,9.6,8.9,10.2
1909,榮成,10.5,9.8,11.1
2002,中鋼,4.7,4.3,5.1
2006,東和鋼鐵,8.9,8.5,9.4
2007,燁興,5.5,4.4,6.5
2008,高興昌,7.4,6.4,8.2
2009,第一銅,9.1,8.3,10.1
2010,春源,5.4,5.0,6.0
2012,春雨,9.8,9.2,10.2
2013,中鋼構,8.5,7.9,8.8
2014,中鴻,5.1,4.3,6.0
2015,豐興,11.7,11.3,12.1
2017,官田鋼,6.8,6.0,7.4
2020,美亞,6.2,5.6,6.7
2022,聚亨,2.9,2.1,3.8
2023,燁輝,5.5,4.9,6.0
2024,志聯,10.5,9.8,11.1
2025,千興,-2.4,-4.0,-0.5
2027,大成鋼,9.9,9.2,10.5
2028,威致,12.3,11.1,13.5
2029,盛餘,4.1,3.6,4.6
2030,彰源,4.2,3.5,5.0
2031,新光鋼,10.1,9.4,10.8
2032,新鋼,5.3,4.5,6.1
2033,佳大,5.5,4.9,6.1
2034,允強,11.1,10.6,11.6
2035,唐榮,3.1,2.5,3.7
2038,海光,4.4,3.4,5.7
2041,,,,
2043,,,,
2048,,,,
2049,上銀,23.7,23.0,24.0
2056,,,,
2059,川湖,5.3,4.6,6.3
2060,,,,
2061,風青,-0.4,-1.4,0.8
2062,橋椿,-1.1,-1.9,0.0
2063,世鎧,2.3,1.5,3.4
2064,晉椿,0.1,-0.4,1.0
2065,世豐,10.4,9.1,11.1
2066,世德,-5.6,-6.1,-4.5
2067,嘉鋼,-10.3,-11.2,-8.6
2068,,,,
2069,運錩,1.9,1.3,3.0
2070,精湛,-17.4,-17.8,-14.9
2071,,,,
2072,,,,
2101,南港,7.8,7.2,8.4
2102,泰豐,4.6,3.9,5.4
2103,台橡,6.9,6.5,7.3
2104,國際中橡,9.6,9.2,10.0
2105,正新,10.9,10.4,11.3
2106,建大,11.0,10.4,11.5
2107,厚生,8.1,7.4,8.7
2108,南帝,17.8,17.2,18.1
2109,華豐,3.5,2.6,4.3
2114,鑫永銓,12.3,11.6,12.9
2115,六暉-KY,3.9,3.1,5.1
2201,裕隆,4.1,3.1,5.2
2204,中華,7.1,6.1,8.3
2206,三陽工業,9.4,8.5,10.1
2207,和泰車,17.2,16.6,17.8
2208,台船,4.7,4.0,5.5
2211,,,,
2215,,,,
2218,,,,
2219,,,,
2220,,,,
2221,大甲,2.0,0.3,3.5
2222,,,,
2225,,,,
2226,,,,
2227,裕日車,10.7,9.3,12.2
2228,劍麟,1.2,0.4,2.2
2230,泰茂,-1.2,-2.3,-0.2
2231,為升,25.9,25.2,26.3
2233,宇隆,7.2,6.4,8.3
2235,謚源,-3.9,-4.6,-2.9
2236,百達-KY,-10.0,-11.0,-7.0
2237,,,,
2239,英利-KY,-3.2,-4.1,-1.0
2241,艾姆勒,-13.6,-13.9,-12.2
2243,宏旭-KY,-20.2,-21.4,-16.5
2245,,,,
2246,,,,
2247,汎德永業,-8.8,-9.1,-8.0
2248,,,,
2249,,,,
2301,光寶科,6.4,5.8,7.3
2302,麗正,12.6,11.4,13.7
2303,聯電,10.8,9.8,11.7
2305,全友,5.3,4.1,6.4
2308,台達電,12.5,11.9,13.0
2311,日月光,10.9,10.1,11.9
2312,金寶,2.0,1.1,2.9
2313,華通,9.0,7.5,10.6
2314,台揚,7.6,6.7,8.9
2316,楠梓電,8.3,6.9,9.7
2317,鴻海,5.2,4.6,6.0
2321,東訊,2.4,-0.2,5.5
2323,中環,1.5,0.3,2.8
2324,仁寶,3.0,2.4,3.8
2325,矽品,6.5,5.9,7.2
2327,國巨,31.7,30.4,33.4
2328,廣宇,-0.3,-1.3,1.3
2329,華泰,7.0,5.8,8.0
2330,台積電,17.9,17.5,18.4
2331,精英,7.7,6.3,9.3
2332,友訊,3.9,3.0,5.1
2337,旺宏,16.9,16.1,17.8
2338,光罩,11.3,10.6,12.1
2340,光磊,8.3,7.5,9.3
2342,茂矽,11.2,9.3,13.7
2344,華邦電,9.4,7.9,11.1
2345,智邦,25.3,24.3,26.7
2347,聯強,6.8,6.3,7.4
2348,海悅,22.8,20.2,25.4
2349,錸德,2.6,1.0,4.4
2351,順德,15.9,14.9,16.7
2352,佳世達,4.8,3.1,6.9
2353,宏,-1.9,-3.1,-0.4
2354,鴻準,-0.6,-1.3,0.3
2355,敬鵬,6.1,5.4,6.8
2356,英業達,7.6,6.9,8.5
2357,華碩,12.6,11.9,13.6
2358,廷鑫,4.2,2.9,5.5
2359,所羅門,8.6,7.9,9.2
2360,致茂,15.3,14.6,15.9
2362,藍天,8.2,7.7,8.6
2363,矽統,2.7,1.4,4.7
2364,倫飛,-0.6,-2.1,1.3
2364A,,,,
2365,昆盈,0.9,0.2,1.9
2367,燿華,5.9,4.9,7.2
2368,金像電,10.0,8.6,11.5
2369,菱生,3.7,2.8,4.8
2371,大同,7.2,6.1,8.4
2373,震旦行,14.5,14.0,14.8
2374,佳能,0.3,-0.4,1.3
2375,凱美,18.7,16.8,20.3
2376,技嘉,12.1,11.1,13.1
2377,微星,18.5,17.8,19.2
2379,瑞昱,20.3,19.5,21.0
2380,虹光,-1.7,-2.9,0.1
2381,華宇,-15.7,-18.3,-10.3
2382,廣達,8.6,8.1,9.1
2383,台光電,21.7,20.5,22.7
2384,勝華,-25.7,-27.7,-20.1
2385,群光,13.0,12.5,13.4
2387,精元,8.9,7.7,10.1
2388,威盛,7.5,5.7,9.6
2390,云辰,3.9,3.0,4.8
