id,name,s2006e2020bao,s2006e2020bah,s2006e2020bal
8064,東捷,-2.1,-3.7,0.0
8066,來思達,17.6,13.4,23.1
8067,志旭,0.5,-0.7,1.6
8068,全達,9.1,8.1,9.8
8069,元太,9.7,8.8,10.7
8070,長華*,-5.5,-6.7,-3.6
8071,能率網通,4.1,3.1,5.3
8072,陞泰,-2.3,-3.0,-1.5
8074,鉅橡,3.4,2.4,4.6
8076,伍豐,-2.7,-3.6,-1.2
8077,洛,3.5,1.7,5.5
8078,華寶,-2.9,-5.3,0.5
8080,永利聯合,-6.5,-7.8,-4.7
8081,致新,4.1,2.9,6.0
8083,瑞穎,18.8,18.3,19.1
8084,巨虹,10.0,8.5,11.3
8085,福華,4.2,3.2,5.2
8086,宏捷科,18.0,16.8,19.1
8087,華鎂鑫,3.3,2.0,4.3
8088,品安,7.8,6.1,9.6
8089,康全電訊,-23.4,-24.1,-22.0
8091,翔名,12.0,11.2,12.6
8092,建暐,-2.7,-3.9,-1.4
8093,保銳,2.6,1.0,3.9
8096,擎亞,-0.2,-1.8,1.6
8097,常珵,0.7,-1.6,3.5
8099,大世科,6.3,5.5,7.2
8101,華冠,-8.0,-9.7,-5.4
8103,瀚荃,3.4,2.6,4.7
8104,錸寶,-15.8,-16.0,-10.5
8105,凌巨,-1.3,-2.5,0.2
8107,大億金茂,1.0,-0.5,2.6
8109,博大,18.7,18.2,19.0
8110,華東,1.3,-0.2,3.2
8111,立,1.9,-0.2,3.9
8112,至上,9.6,8.2,11.6
8114,振樺電,4.9,4.0,6.0
8115,,,,
8119,,,,
8121,越峰,1.7,0.5,3.2
8127,,,,
8131,福懋科,4.4,3.3,5.6
8134,,,,
8140,,,,
8147,正淩,7.8,6.7,8.6
8150,南茂,2.6,1.7,3.9
8152,,,,
8155,博智,22.0,20.6,23.4
8163,達方,3.7,2.2,5.4
8171,天宇,11.6,9.7,14.0
8176,智捷,-2.9,-4.1,-0.4
8179,,,,
8182,加高,4.4,3.4,5.5
8183,精星,5.7,4.2,7.3
8201,無敵,-6.1,-7.4,-4.3
8210,勤誠,13.7,12.5,15.1
8213,志超,4.0,3.2,5.2
8215,明基材,4.4,3.0,5.9
8218,,,,
8222,寶一,-4.7,-5.7,-3.5
8225,,,,
8227,,,,
8234,新漢,0.6,-0.6,2.6
8240,華宏,-1.3,-3.1,0.8
8242,,,,
8249,菱光,0.8,-0.7,2.5
8255,朋程,4.5,3.3,5.7
8261,富鼎,4.6,2.6,7.2
8271,宇瞻,9.5,8.6,10.5
8277,商丞,-2.3,-4.6,0.7
8279,生展,0.8,-0.6,2.7
8281,,,,
8284,三竹,-28.4,-28.6,-26.6
8287,英格爾,-15.0,-15.7,-12.1
8289,泰藝,0.2,-0.9,1.3
8291,尚茂,-5.6,-6.6,-3.8
8298,,,,
8299,群聯,13.4,12.8,14.3
8304,,,,
8305,,,,
8307,,,,
8308,,,,
8309,,,,
8310,,,,
8312,,,,
8315,,,,
8323,,,,
8327,,,,
8329,,,,
8330,,,,
8338,,,,
8341,日友,26.3,25.1,26.7
8342,益張,7.2,6.6,8.0
8343,,,,
8349,矬,13.0,12.4,13.3
8350,,,,
8354,冠好,5.9,5.2,6.5
8358,金居,11.1,9.4,12.4
8359,,,,
8360,,,,
8366,,,,
8367,建新國際,14.8,13.6,15.8
8368,,,,
8370,,,,
8374,羅昇,2.3,1.2,3.7
8376,,,,
8379,,,,
8383,千附,6.7,5.9,7.4
8387,,,,
8390,金益鼎,0.2,-1.2,1.9
8391,,,,
8392,,,,
8394,,,,
8399,,,,
8401,白紗科,-0.5,-1.4,0.4
8403,盛弘,2.2,1.3,3.2
8404,百和興業-KY,6.1,4.9,7.3
8406,金可-KY,-3.5,-4.1,-2.3
8409,商之器,-7.2,-8.7,-5.3
8410,森田,2.2,0.5,4.0
8411,福貞-KY,-6.1,-6.8,-4.5
8415,大國鋼,12.2,11.3,12.6
8416,實威,10.5,9.6,11.2
8418,捷必勝-KY,-7.7,-8.4,-6.2
8420,明揚,7.8,7.1,8.4
8421,旭源,-5.3,-6.1,-4.2
8422,可寧衛,4.2,3.7,4.7
8423,保綠-KY,-4.6,-5.3,-3.2
8424,惠普,12.6,12.1,12.8
8426,紅木-KY,-5.9,-6.6,-4.6
8427,基勝-KY,1.6,1.1,2.4
8429,金麗-KY,-13.4,-13.8,-11.1
8431,匯鑽科,4.6,2.9,6.5
8432,東生華,-0.7,-1.4,0.4
8433,弘帆,8.5,7.9,9.0
8435,鉅邁,8.9,8.6,9.2
8436,大江,17.4,16.7,18.5
8437,大地-KY,8.5,7.7,9.6
8438,,,,
8440,綠電,-7.1,-8.6,-4.8
8442,威宏-KY,1.9,1.4,2.6
8443,阿瘦,-12.3,-12.9,-10.0
8444,綠河-KY,2.2,1.4,3.6
8446,華研,3.3,2.3,5.0
8450,霹靂,-18.3,-18.7,-15.2
8452,,,,
8453,,,,
8454,富邦媒,15.9,14.6,16.7
8455,大拓-KY,5.6,4.1,6.8
8456,,,,
8458,,,,
8459,,,,
8462,柏文,29.3,28.2,29.8
8463,潤泰材,5.1,3.6,6.7
8464,億豐,11.2,10.3,12.2
8465,,,,
8466,美吉吉-KY,-6.8,-7.7,-5.4
8467,波力-KY,-1.4,-2.8,0.6
8469,,,,
8472,夠麻吉,-1.4,-4.6,2.9
8473,山林水,-3.0,-3.5,-2.0
8475,,,,
8476,台境,-15.0,-16.3,-11.4
8477,創業家,-8.6,-9.6,-6.5
8478,東哥遊艇,3.2,2.0,6.0
8479,,,,
8480,泰昇-KY,8.5,7.7,9.0
8481,政伸,15.3,14.5,16.2
8482,商億-KY,1.7,1.2,2.7
8486,,,,
8487,,,,
8488,吉源-KY,-13.5,-14.5,-10.9
8489,三貝德,-13.5,-14.2,-11.2
8490,,,,
8491,,,,
8492,,,,
8495,,,,
8496,,,,
8497,格威傳媒,14.8,14.0,15.5
8499,鼎炫-KY,2.2,0.8,5.0
8905,裕國,4.2,3.5,4.7
8906,花王,8.4,7.7,9.1
8908,欣雄,17.5,16.8,17.7
8913,全銓,25.1,24.0,25.4
8916,光隆,13.1,12.5,13.4
8917,欣泰,9.0,8.6,9.2
8921,沈氏,3.9,3.4,4.2
8923,時報,5.1,4.6,5.5
8924,大田,5.5,4.0,6.8
8926,台汽電,12.9,12.4,13.2
8927,北基,4.4,3.8,4.9
8928,鉅明,8.2,7.2,9.0
8929,富堡,9.7,9.1,10.2
8930,青鋼,9.3,8.8,9.7
8931,大汽電,11.6,11.0,12.0
8932,宏大,5.2,4.2,6.0
8933,愛地雅,2.2,1.2,3.5
8934,衡平,13.4,11.5,14.8
8935,邦泰,-0.8,-2.5,1.0
8936,國統,10.5,9.8,11.1
8937,合騏,-0.5,-1.7,0.8
8938,明安,3.5,2.7,4.4
8940,新天地,-3.6,-4.2,-2.7
8941,關中,9.3,6.4,12.2
8942,森鉅,8.8,7.9,9.7
8943,,,,
8945,,,,
8946,,,,
8948,,,,
8951,,,,
8952,,,,
8953,,,,
8955,,,,
8956,,,,
8957,,,,
8960,,,,
8962,,,,
8963,,,,
8965,,,,
8966,,,,
8967,,,,
8968,,,,
8969,,,,
8970,,,,
8971,,,,
8973,,,,
8974,,,,
8975,,,,
8976,,,,
8977,,,,
8978,,,,
8980,,,,
8981,,,,
8982,,,,
8983,,,,
8985,,,,
8986,,,,
8987,,,,
8988,,,,
8990,,,,
8991,,,,
8992,,,,
8995,,,,
8996,高力,8.8,7.8,9.5
9802,鈺齊-KY,20.5,19.8,21.1
9902,台火,2.7,1.9,3.6
9904,寶成,6.7,6.2,7.2
9905,大華,7.2,6.7,7.5
9906,欣巴巴,31.1,30.2,32.5
9907,統一實,5.0,4.5,5.4
9908,大台北,9.8,9.4,10.1
9910,豐泰,20.9,20.3,21.6
9911,櫻花,16.2,15.6,16.9
9912,偉聯,2.7,1.7,3.7
9914,美利達,20.7,20.2,20.9
9917,中保科,7.5,7.1,7.8
9918,欣天然,7.8,7.4,7.9
9919,康那香,8.3,7.6,8.9
9921,巨大,13.1,12.6,13.5
9924,福興,7.7,7.0,8.6
9925,新保,7.9,7.6,8.3
9926,新海,13.0,12.7,13.1
9927,泰銘,7.7,7.0,8.2
9928,中視,-5.0,-5.5,-3.6
9929,秋雨,8.1,6.9,8.9
9930,中聯資源,9.2,8.8,9.4
9931,欣高,12.0,11.6,12.1
9933,中鼎,10.5,10.1,10.8
9934,成霖,1.4,0.7,2.5
9935,慶豐富,14.4,13.8,15.3
9937,全國,8.8,8.3,9.1
9938,百和,13.4,12.6,14.2
9939,宏全,9.6,9.1,9.9
9940,信義,7.7,7.2,8.3
9941,裕融,14.6,14.0,15.1
9942,茂順,9.9,9.5,10.3
9943,好樂迪,11.7,11.0,12.3
9944,新麗,3.9,3.3,4.5
9945,潤泰新,17.4,16.8,17.7
9946,三發地產,4.2,3.2,5.5
9949,琉園,-0.8,-1.4,0.0
9950,萬國通,1.9,1.5,2.3
9951,皇田,12.1,11.1,13.2
9955,佳龍,-3.3,-4.4,-1.9
9957,,,,
9958,世紀鋼,17.9,16.2,19.5
9960,邁達康,10.4,9.7,11.1
9962,有益,1.9,1.0,3.0
9963,,,,
9964,,,,
9968,,,,
9971,,,,
9977,,,,
9978,,,,
9982,,,,
9983,,,,
9984,,,,
9985,,,,
9986,,,,
